,features,loop_1,loop_2,loop_3,loop_4,loop_5,loop_6,loop_7,loop_8,loop_9,loop_10,loop_11,loop_12,loop_13,loop_14,loop_15,loop_16,loop_17,loop_18,loop_19,loop_20,sum
165,a165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
341,b66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
486,b211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
365,b90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
478,b203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
354,b79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
481,b206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,a88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
485,b210,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,a23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,a55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
57,a57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
490,b215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,a76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
287,b12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
496,b221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
70,a70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,a58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,a67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
364,b89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
216,a216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
106,a106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
109,a109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,a37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
343,b68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,a125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28,a28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
298,b23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
516,b241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
456,b181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
509,b234,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
342,b67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48,a48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,a38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
329,b54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,b76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,b75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,b103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,b111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,b110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,b74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,b72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,b109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,b70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,b55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,b108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,b107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,b73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,b106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,b102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,b71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,b105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,b56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,b77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,b101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,b100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,b87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,b86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,b85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,b84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,b83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,b62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,b61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,b80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,b60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
